Summary,Issue key,Issue id,Status,Project key,Project name,Priority,Assignee,Components,,Custom field (Root Cause)
Invoices are not getting Billed in QA01env,YYY-16540,213090,Done,YYY,ANIC WC Migration,Very High,Peter,BillingCenter,,Coding
SBT Gap -Stab4_PC_CP_PolicyFile_Location screen not visible or displayed on Policy file,XXX-34032,213089,Requirements,XXX,ANIC P&C Migration,Medium,Williams,PolicyCenter,,Coding
Jasper-ODS- Error occured while fetching ODS polices in CC,YYY-16539,213088,Done,YYY,ANIC WC Migration,Medium,John,Integrations,,Data
ccst_transaction_pmt : having issue with  RecoverycodingID field,XXX-34031,213087,To Do,XXX,ANIC P&C Migration,Medium,Williams,Claims Conversion,,Coding
Stab4_PC_CU_Renewal is not triggering when policy has both external and internal underlying policy ,XXX-34030,213086,Ready for Dev,XXX,ANIC P&C Migration,Medium,John,PolicyCenter,,Coding
 having a issue in exposure.lossparty,XXX-34029,213085,To Do,XXX,ANIC P&C Migration,Medium,Williams,Claims Conversion,,Coding
P-505 form - not applicable for AZ state ,YYY-16538,213079,Done,YYY,ANIC WC Migration,Medium,Williams,Jasper,,Coding
Claim- Notes having issue with Typelist field : Topic,XXX-34023,213078,To Do,XXX,ANIC P&C Migration,Medium,Williams,Claims Conversion,,Coding
ccst_claim: Having issue with the field ReopeningRequestedDate_Ext,XXX-34022,213077,To Do,XXX,ANIC P&C Migration,Medium,Williams,Claims Conversion,,Coding
QA env - Vol type policy ->  When user click on get More info link under Quote screen -> blank screen has been displayed  instead  Analytics Unified Dashboard should display ,YYY-16537,213076,To Do,YYY,ANIC WC Migration,Medium,Williams,Integrations,,Coding
"Stab 4_BC CPP_Past Due Amount is displaying as '0' in Demand Letter34 document for ""Past Due delinquency"" workflow",XXX-34021,213075,To Do,XXX,ANIC P&C Migration,Very High,Williams,BillingCenter,,Coding
AZ state - maritime coverage -> 2 coverterms are not applicable for AZ state ,YYY-16536,213074,Ready for QA,YYY,ANIC WC Migration,Medium,Williams,Jasper,,Coding
ccst_Claim having issue with field -FaultRating,XXX-34020,213073,To Do,XXX,ANIC P&C Migration,Medium,Williams,Claims Conversion,,Coding
Issues_CG DS 04 07 98_Pending Data Elements,XXX-34019,213064,Blocked,XXX,ANIC P&C Migration,Medium,Williams,Forms Mapping,,Coding
Issue_CG DS 03 07 98_Pending Data Elements,XXX-34018,213063,Blocked,XXX,ANIC P&C Migration,Medium,Williams,Forms Mapping,,Coding
Issue_CG DS 02 07 98_Pending Data Elements,XXX-34017,213062,Blocked,XXX,ANIC P&C Migration,Medium,Williams,Forms Mapping,,Coding
Issue_CG DS 01 10 01_Pending Data Elements,XXX-34016,213060,Blocked,XXX,ANIC P&C Migration,Medium,Williams,Forms Mapping,,Coding
UAT1 - IM 7486 Refrigerator Breakdown Coverage - system allowing deductible to be less than $1000 and Property in Vehicle Coverage not defaulting from Part coverage level,XXX-34015,213039,In Dev,XXX,ANIC P&C Migration,Medium,Martin,PolicyCenter,,Coding
UAT1  - Form IM 7472 Trailer Schedule - Motor Truck Cargo issues,XXX-33574,212596,Ready for QA,XXX,ANIC P&C Migration,Medium,Williams,PolicyCenter,,Coding
SmartComm - Welcome Letter Changes to comply with CA Bill 1870,EEE-1847,212594,To Do,EEE,PolicyCenter,Normal,Williams,PolicyCenter,,Coding
UAT1 - Correct form # for IM 7404 Additional Premises Schedule - Fine Arts Comprehensive Form,XXX-33573,212593,To Do,XXX,ANIC P&C Migration,Medium,Martin,Forms Mapping,,Coding
[DbDrop] - Stab4-IM-Motor Truck Cargo-Contingent Cargo- Exclusions-Property Excluded and Theft Exclusion cov terms are not as per requirement,XXX-33572,212592,Blocked,XXX,ANIC P&C Migration,Low,Martin,PolicyCenter,,Coding
Stab4-IM-Motor Truck Cargo-Contingent Cargo- Additional Coverages screen-Cov terms 'Adulterated Food Limit' and 'Adulterated Food Deductible' are displayed as Limit and Deductible,XXX-33571,212590,Done,XXX,ANIC P&C Migration,Low,Williams,PolicyCenter,,Not a Defect
AL usp_Load_DIM_DerivedClaimType_Reprocess needs a small tweak,BBB-8065,212589,In Test,BBB,EDW Production Operations,Medium,David,,,Coding
Stab4-IM-Motor Truck Cargo-Contingent Cargo- Contingent Cargo Coverage and Schedule of Coverages should be unchecked checkboxes when user select Contingent cargo from dropdown but currently by defaulted they are checked,XXX-33570,212587,Cancelled,XXX,ANIC P&C Migration,Medium,Martin,PolicyCenter,,Coding
UAT1 - IM 7470 (Ed 01 12 and 02 12) Mobile Equipment - Deductible Min $1000,XXX-33568,212584,In Dev,XXX,ANIC P&C Migration,Medium,Martin,PolicyCenter,,Coding
UAT1 - Occurrence Limit not totaling - Schedule of Coverages Museum Collection Coverage Fine Art Comprehensive Form,XXX-33567,212583,In Dev,XXX,ANIC P&C Migration,Medium,Martin,PolicyCenter,,Coding
Stab3-CA7: Without change in Vehicle Coverage Limitsthere shouldn’t be 2 slices created for the Composite Rated Vehicles during MidTerm PolChange & also 2nd slices shouldn’t have premium during Final Audit post  MidTerm PolChange,XXX-33566,212582,To Do,XXX,ANIC P&C Migration,High,Williams,Rating,,Not a Defect
UAT1 - Wrong table for Schedule of Coverages Museum Collection Coverage Fine Art Comprehensive Form,XXX-33565,212580,To Do,XXX,ANIC P&C Migration,High,Martin,PolicyCenter,,Coding
Stab3-CA7 Audit: During both Premium Report & Final Audit Audited Premium is not calculated & displayed properly for the Composite Schedules which are added in Mid-Term Policy Change.,XXX-33564,212579,Ready for QA,XXX,ANIC P&C Migration,High,Williams,PolicyCenter,,Coding
Policy change_CU 24 50 06 15 CU 24 51_Need Payload,XXX-33563,212578,To Do,XXX,ANIC P&C Migration,Medium,Williams,Forms Mapping,,Coding
Stab3-CA7 Audit: Proration is not applied correctly to Audited Premium for Auditable Coverages during Premium Report,XXX-33562,212577,In Dev,XXX,ANIC P&C Migration,High,Martin,Rating,,Coding
Pending_Data_Element - CR DS 03 08 13,XXX-33561,212576,To Do,XXX,ANIC P&C Migration,Medium,Williams,Forms Mapping,,Coding
Policy change_(CG 24 50 CG 24 51 & CG 24 52)_Need Payload,XXX-33560,212575,To Do,XXX,ANIC P&C Migration,Medium,Williams,Forms Mapping,,Coding
[SME Clarification] - Stab3-GL7 Audit: During Premium Report Terrorism Premium should be calculated using Basis as per the Reporting period not full Annual period.,XXX-33559,212573,Blocked,XXX,ANIC P&C Migration,High,Williams,PolicyCenter,,Coding
Stab3-GL7 Audit: Exposure Level Terrorism Premiums of Non-Auditable Exposure Classes aren’t displayed during Premium Report.,XXX-33558,212572,Cancelled,XXX,ANIC P&C Migration,Medium,Martin,PolicyCenter,,Coding
Issues_CO 1277 04 02_Payload Required,XXX-33557,212568,To Do,XXX,ANIC P&C Migration,Medium,Williams,Forms Mapping,,Coding
UAT1 - Inland Marine - QuoteScreen[] Not Mapped in Payload,XXX-33556,212567,To Do,XXX,ANIC P&C Migration,Very High,Williams,Forms Mapping,,Coding
UAT1 - Auto - AZ CA & MN Assessments Not Mapped in Payload,XXX-33555,212566,To Do,XXX,ANIC P&C Migration,High,Williams,Forms Mapping,,Coding
Stab3-GL7 Audit: Estimated & Audited Basis/Premium aren’t correctly displayed for Enhancement Endorsement CoveragesContractor's Errors And Omissions Endorsement & Limited Pollution Liability Coverage for Contractors during Interim Reporting.,XXX-33554,212564,Ready for Dev,XXX,ANIC P&C Migration,High,Peter,Rating,,Coding
UAT1 - IM 7257 Trip Transit Cvg - Sched of Cvgs: List of issues,XXX-33553,212563,Done,XXX,ANIC P&C Migration,High,Williams,PolicyCenter,,Requirements
"Stab4_Rating_Commercial Package_New Submission_""Agency Expense Reduction Mod"" not applied for applicable coverages(Government Entity Type) in Crime LOB",XXX-33551,212557,Done,XXX,ANIC P&C Migration,High,Williams,Rating,,Coding
PE/CE: Monthly Loss Runs not working as expected,GGG-1419,212541,Ready for Dev,GGG,GW Cloud Digital,High,Williams,,,Coding
AL dim_PolicyLine is missing records from dbo.AutoLineOfInsurance,AAA-6037,212539,New Item,AAA,AAA,Medium,Williams,,,Coding
Stab4_Rating_Commercial Property_Submission_KS -  totalPremium is incorrect for Property Coverage Enhancement,XXX-33550,212537,In Dev,XXX,ANIC P&C Migration,High,Martin,Rating,,Coding
Payload missing data/coverage terms for form IM 7466 Property Excluded IM 7474 Theft Exclusion,XXX-33549,212533,To Do,XXX,ANIC P&C Migration,Medium,Williams,PolicyCenter,,Coding
Stab4_PC_GL_NB- IL 00 17 Common Policy Conditions is not getting inferred,XXX-33548,212531,Done,XXX,ANIC P&C Migration,High,David,PolicyCenter,,Coding
Stab4_Rating_Commercial Property_Submission_KS - Getting Invalid quote on click of Quote button,XXX-33547,212529,Done,XXX,ANIC P&C Migration,High,Williams,Rating,,Not a Defect
Stab4_PC_GL_NB- Policy Package (PPAKT) is not having all the forms from Forms UI,XXX-33546,212528,Done,XXX,ANIC P&C Migration,Very High,David,PolicyCenter,,Coding
[ReqUpdate] - UAT1 - CP 03 21 06 07 Wind/Hail % ded form not showing on the Forms screen and missing from payload,XXX-33545,212527,Ready for QA,XXX,ANIC P&C Migration,High,Peter,PolicyCenter,,Coding
Stab4_PC_MEL_NewSubmission - PN-910 form is not getting triggered,XXX-33544,212526,Done,XXX,ANIC P&C Migration,High,Peter,PolicyCenter,,Coding
"Stab4_Rating_Commercial Package_All Transactions: ""Rules Mod"" value never resets in worksheet even though changed to ""No"" for Government Crime & Fidelity coverages. Also not editable after first entry.",XXX-33543,212525,Done,XXX,ANIC P&C Migration,High,Williams,Rating,,Coding
Stab4_PC_MEL_Renewal - Auto renew indicator is missing from policy info and quote screen(renewal transaction),XXX-33542,212524,Ready for Dev,XXX,ANIC P&C Migration,Low,Williams,PolicyCenter,,Coding
Wrong Form Number Issue,XXX-33541,212523,Blocked,XXX,ANIC P&C Migration,High,Williams,Forms Mapping,,Coding
Document Search failed error ->  QA / QA1 environment ,YYY-16535,212522,Done,YYY,ANIC WC Migration,Very High,Williams,Jasper,,Coding
Issues_CR 20 14 10 10_Need Payload,XXX-33540,212521,To Do,XXX,ANIC P&C Migration,Medium,Williams,Forms Mapping,,Coding
Jasper CE - Document are not saving on the FNOL process.,YYY-16534,212520,In Dev,YYY,ANIC WC Migration,Medium,Williams,Jasper,,Coding
"Stab4_PC_MEL_NewSubmission - Multiple Invoicing - If User opts to create a New one after clicking on ""New"" button a non blocking warning is not getting triggered",XXX-33539,212519,Cancelled,XXX,ANIC P&C Migration,High,Peter,PolicyCenter,,Not a Defect
Jasper CE - Additional Information Page formatting is incorrect,YYY-16533,212518,Done,YYY,ANIC WC Migration,Medium,Williams,Jasper,,Coding
Jasper CE - Calendar icon is missing/Remove delete icon is not visible,YYY-16532,212516,Done,YYY,ANIC WC Migration,Low,Williams,Jasper,,Coding
Jasper-ECC-created packets not flow to CC and uploaded document in CC not flow to ECC.,YYY-16531,212515,In Dev,YYY,ANIC WC Migration,Medium,Williams,Integrations,,Coding
Jasper-salesforce- Accounts and Policies are stuck in sales force message queue,YYY-16530,212510,Done,YYY,ANIC WC Migration,Medium,John,Integrations,,Data
Stab4_Rating_Commercial Umbrella-Preemption transaction-> Unable to view rate worksheet-Getting render Exception,XXX-33538,212509,In Dev,XXX,ANIC P&C Migration,High,Williams,Rating,,Coding
Stab4_Rating_Commercial Umbrella-Preemption transaction-> Layer premiums displaying at line level,XXX-33537,212508,Ready for Dev,XXX,ANIC P&C Migration,Medium,Peter,PolicyCenter,,Coding
PolicyChange_CA 23 98 10 13_Need Payload,XXX-33536,212507,To Do,XXX,ANIC P&C Migration,Medium,Williams,Forms Mapping,,Coding
PolicyChange_CA 23 13 10 13_Need Payload,XXX-33535,212506,To Do,XXX,ANIC P&C Migration,Medium,Williams,Forms Mapping,,Coding
